"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.254487102,-1.807102625,-0.333873145986952,-1.46492037930118,-0.582033608950432,-1.90815819113613,-0.920814821514358,-1.91571657385242,0.044,-1.85,0.224239689,-1.758320357,-0.049435735,-1.635431127,-0.019023217,-1.933885611,-0.292698641,-1.810996382,TRUE,"f1","1stO",70,"null",165,1,330,2,-0.254487102,-1.807102625,0
0.126514063,-1.641812726,-0.292468739747252,-1.1679499630668,-0.49921952732634,-2.13805525635664,-1.13625244702488,-1.57304304155554,0.38,-1.85,0.626323814,-1.660679387,0.372359217,-1.500985983,0.36104297,-1.800772478,0.107078373,-1.641079073,FALSE,"null","null",306,"null",137,2,306,2,0.126514063,-1.641812726,0.139279272598452
0.304600535,-1.979252112,0.477463389782228,-2.19472450875488,-0.07914978566715,-2.10385209309034,-0.254904268677589,-1.64028461624735,0.562,-1.85,0.665693803,-2.059352877,0.444536451,-1.856647609,0.379567215,-2.149528128,0.158409864,-1.946822859,FALSE,"null","null",293,"null",118,3,293,2,0.304600535,-1.979252112,0.319843187279303
-0.213207875,-1.875147415,-1.25387309875285,-2.16914850691759,-0.726345905373509,-2.59754447081841,-0.958806688091644,-2.27831514483666,0.0580000000000001,-1.85,0.391461018,-1.576180879,0.0920832350000004,-1.556869153,0.225047682,-1.825793782,-0.0743301019999998,-1.806482056,TRUE,"L","1stO",63,"null",163,4,329,2,-0.213207875,-1.875147415,-0.35763231400818
0.030067367,-1.641621531,-0.255931060829302,-1.18081821720952,-0.302105566451571,-1.72345674612986,-1.03778570157676,-1.49683969741633,0.282,-1.85,0.317428699,-1.668838176,0.0729221329999998,-1.495009124,0.0446350410000001,-1.793672547,-0.199871525,-1.619843495,FALSE,"null","null",313,"null",151,5,313,2,0.030067367,-1.641621531,0.195980086141766
0.117762091,-1.871657069,-0.81263047162294,-1.65129346932731,-0.0791921188873596,-1.97984476842485,-0.856577547117632,-2.34669343369838,0.422,-1.85,0.56510237,-1.752086551,0.275372288,-1.674263164,0.3528403,-1.964088469,0.063110217,-1.886265082,FALSE,"null","null",303,"null",132,7,303,2,0.117762091,-1.871657069,-0.159636700884664
0.353476867,-1.677127742,-0.11660486438205,-1.50410987981265,-0.144407063196254,-1.80995245037598,-0.07309855591879,-1.68154477486206,0.618,-1.85,0.60676255,-1.63111259,0.324327053,-1.529968189,0.377951181,-1.825136705,0.095515684,-1.723992305,FALSE,"null","null",289,"null",120,8,289,2,0.353476867,-1.677127742,-0.0781633907312131
0.180605819,-1.800999601,0.0733241902119515,-1.55742390683282,-1.03345754392312,-1.77403684048712,-0.297474976639442,-1.91384400218244,0.464,-1.85,0.501229599,-1.760378469,0.224628942,-1.644223071,0.262335745,-1.941843965,-0.0142649119999997,-1.825688567,FALSE,"null","null",300,"null",135,9,300,2,0.180605819,-1.800999601,-0.0244731527167697
0.069407989,-1.913757039,-0.144386970984969,-1.88594324580009,-0.0863073263066558,-1.69655278106256,-0.18891999415271,-1.77502587684902,0.338,-1.85,0.609147607,-2.021092816,0.383586814,-1.823299165,0.325072884,-2.117537368,0.09951209,-1.919743716,FALSE,"null","null",309,"null",133,10,309,2,0.069407989,-1.913757039,0.297854293013018
0.02200841,-1.562898127,-1.02419539872502,-1.57071939942588,-0.458536333550983,-1.56808251392373,-0.324793988382967,-1.83934323169521,0.24,-1.85,0.504005974,-1.535872413,0.236208449,-1.400652277,0.253003138,-1.700181805,-0.014794387,-1.564961668,TRUE,"f1","1stO",60,"null",150,13,316,2,0.02200841,-1.562898127,0.0455379202633331
