"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.232078535,-1.806488105,-0.404049467795605,-1.4764755709219,-0.670030235974919,-2.09134216742331,-0.605377799658769,-1.87209019211383,0.128,-1.85,0.241684334,-1.761829709,-0.031053731,-1.636873925,-0.00289958200000001,-1.935549909,-0.275637647,-1.810594125,TRUE,"f1","1stO",70,"null",245,1,324,2,-0.232078535,-1.806488105,0
0.171111026,-1.643300872,0.42596622739322,-1.40313177855338,-0.223543699767036,-1.94550707602293,-0.395835127787475,-1.55811981896859,0.534,-1.85,0.678283437,-1.662728184,0.424407773,-1.502893435,0.412924650999999,-1.802673584,0.159048987,-1.642838834,TRUE,"f3","2ndO",217,"null",217,2,295,2,0.171111026,-1.643300872,0.132271893882738
0.422389698,-2.00721633,0.988050267488666,-1.88379969949887,-0.0637573202048232,-2.08936933373753,-0.0957208011121461,-2.03270380684207,0.786,-1.85,0.920593612,-2.110598242,0.696682386,-1.910939126,0.635728132,-2.204681494,0.411816905,-2.005022378,TRUE,"f2","f3",214,"null",198,3,277,2,0.422389698,-2.00721633,0.298590907993427
-0.226696161,-1.905680723,-0.607449842993337,-1.77438373728287,-0.739960827861752,-2.00826058429144,-0.5240025621831,-2.14030020994441,0.156,-1.85,0.311650298,-1.642861077,0.0123732379999996,-1.622046625,0.143985923,-1.891635388,-0.155291137,-1.870820935,TRUE,"L","1stO",63,"null",243,4,322,2,-0.226696161,-1.905680723,-0.360176013630995
0.20171472,-1.837794925,-0.166832643404842,-1.56567002592375,-0.277256017624102,-1.88501137581679,-0.564816901943973,-1.71858468832842,0.59,-1.85,0.711092572,-1.697106,0.420727068,-1.621688005,0.500595921,-1.910860905,0.210230416,-1.83544291,TRUE,"f2","f3",251,"null",212,7,291,2,0.20171472,-1.837794925,-0.175493772363802
0.378633919,-1.668072493,0.252767466651527,-1.40404353875012,0.00288987121966205,-1.86163380136852,-0.0677310032833554,-1.52526321020465,0.757999999999999,-1.85,0.773876828,-1.5947138,0.491058732,-1.4946442,0.545804965,-1.789606656,0.262986869,-1.689537056,TRUE,"f2","f3",223,"null",200,8,279,2,0.378633919,-1.668072493,-0.0895303153184299
0.215951806,-1.942750717,0.0200626982533028,-1.59626141252163,-0.362331772728731,-2.09558442682276,-0.100977585303396,-1.7866267186937,0.59,-1.85,0.711111548,-2.041570969,0.485685236,-1.843624062,0.426971342,-2.137822428,0.20154503,-1.939875521,TRUE,"f2","2ndO",210,"null",213,10,291,2,0.215951806,-1.942750717,0.290969906779807
0.0155482,-1.564291863,-0.102194645049397,-1.38119139067495,-0.361294765657007,-1.61577859058895,-0.512051662615715,-1.41769385454701,0.38,-1.85,0.607051864,-1.521817358,0.337168003,-1.390810863,0.358654981,-1.69004039,0.08877112,-1.559033895,TRUE,"f1","1stO",60,"null",230,13,306,2,0.0155482,-1.564291863,0.0223008313304472
0.316731658,-1.64983758,0.183088059852529,-1.29600807492183,-0.102233536099019,-1.82807777974819,-0.190214351833142,-1.56752854197333,0.702,-1.85,0.982514307,-1.562702293,0.70543811,-1.447685855,0.744369051,-1.745149099,0.467292854,-1.630132661,TRUE,"f1","1stO",63,"null",206,16,283,2,0.316731658,-1.64983758,-0.0361513484546589
0.32090096,-1.850406323,0.192400446374461,-1.61202452700025,-0.0308157272593287,-2.10074815482332,-0.259316045647752,-1.94603636511381,0.716,-1.85,0.795845257,-1.792885898,0.51988761,-1.675211018,0.555956998,-1.97303479,0.279999351,-1.85535991,TRUE,"f2","1stO",59,"null",203,17,282,2,0.32090096,-1.850406323,-0.0265373925691029
