"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-1.698253836,-2.091388789,-2.05183840304181,-1.56638778731168,-1.69402841075171,-3.97639532008346,-1.42269145279629,-2.86871800992432,-1.44,-1.85,-1.716256384,-2.082592461,-1.548675919,-2.331423303,-1.416972322,-2.061878942,-1.249391856,-2.310709783,TRUE,"f1","1stO",70,"f2",145,1,436,0.2,-1.698253836,-2.091388789,0
-1.303512367,-1.698029809,-1.2948998720538,-0.764865768838415,-1.69423137568073,0.379342082718079,-2.22397038312193,-1.20306008238952,-1.006,-1.85,-0.516787894,-1.615605853,-0.790810997,-1.493493861,-0.759551533,-1.791860826,-1.033574637,-1.669748833,FALSE,"null","null",405,"f2",117,2,405,0.2,-1.303512367,-1.698029809,2.58270618051975
-0.395775535,-1.598667977,-0.465060263185263,-2.03386947308836,-1.1111105647978,-0.83303814214239,-1.11929334178441,-1.19907987682761,-0.165999999999999,-1.85,-0.408052545,-1.608332272,-0.111126653,-1.565495205,-0.296687587000001,-1.329768372,0.000238305999999411,-1.286931306,FALSE,"null","null",345,"f2",131,5,345,0.2,-0.395775535,-1.598667977,5.16180775261856
-1.621286499,-1.791386754,-2.07179969936878,-1.19823306065412,-3.53168461350786,-0.37627483683511,-1.63419644911487,-3.53884810868644,-1.328,-1.85,-1.522693138,-1.820350574,-1.729688058,-1.603202921,-1.814245981,-1.891039607,-2.021240902,-1.673891955,FALSE,"null","null",428,"f3",112,7,428,0.2,-1.621286499,-1.791386754,2.9728257683117
-1.071432143,-1.904948528,-0.474053764619224,-2.01915726934746,-2.23357330081979,-0.96486006940891,-1.42990023210806,-1.22896535896053,-0.796,-1.85,-0.595958343,-1.873809051,-0.865013296,-1.741108514,-0.845407856,-2.040467207,-1.114462808,-1.907766669,FALSE,"null","null",390,"f2",100,8,390,0.2,-1.071432143,-1.904948528,2.62169579947426
-0.186815032,-1.826919062,0.534869752624195,-1.19380393574931,2.36103409087384,-2.30475125250694,-0.393266073289368,-1.72362328505115,0.1,-1.85,-0.203990254,-1.829887112,0.0775656960000003,-1.933454709,0.0264798909999998,-1.637836305,0.308035841,-1.741403902,FALSE,"null","null",326,"f2",115,9,326,0.2,-0.186815032,-1.826919062,5.65756657855357
-1.291524782,-1.731341436,-1.79727984268902,-1.53928329928836,-0.238770123281672,0.512117028040803,-2.37901455023576,-1.70198445821615,-1.034,-1.85,-0.716383626,-1.754876834,-0.969840961999999,-1.594379548,-0.982107021,-1.894128683,-1.235564357,-1.733631397,FALSE,"null","null",407,"f2",113,10,407,0.2,-1.291524782,-1.731341436,2.7279921364705
-0.490846086,-1.570627249,-0.870604223557011,-2.415160367628,-0.681362271590827,-1.79869708024725,-0.645039434686941,-1.16233793858806,-0.305999999999999,-1.85,-0.292071419,-1.566611483,-0.554855809,-1.421889805,-0.548796264,-1.721828601,-0.811580654,-1.577106923,TRUE,"f1","1stO",60,"f2",130,13,355,0.2,-0.490846086,-1.570627249,2.66689401678359
-0.091319267,-1.670516204,-1.1724199429672,-1.47231001738253,-0.650846134435745,-1.01198722174226,-0.39373903475541,-1.13008909625257,0.198000000000001,-1.85,0.250848182,-1.635324258,-0.0229426600000003,-1.512692392,0.00775045000000052,-1.81111815,-0.266040393,-1.688486284,FALSE,"null","null",319,"null",132,14,319,0.2,-0.091319267,-1.670516204,2.58460417331725
-1.494549151,-2.006925546,-0.978713262709315,-2.23654136462986,-3.14420402349058,-3.40955677074223,-2.43016986917497,-1.19194613876794,-1.23,-1.85,-1.450607382,-2.016599637,-1.672087478,-1.814247056,-1.736589906,-2.107230736,-1.958070002,-1.904878155,TRUE,"f2","1stO",59,"f1",103,17,421,0.2,-1.494549151,-2.006925546,2.90379398985627
