"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-1.730718111,-2.064392547,-1.80537479650628,-1.23626777084096,-3.12544979678764,-2.67547218550533,-1.4146173317391,-1.38712557945916,-1.454,-1.85,-1.716256384,-2.082592461,-1.760447984,-1.785865141,-1.995325581,-1.97249985,-2.039517181,-1.67577253,TRUE,"f1","1stO",70,"f2",85,1,437,0.2,-1.730718111,-2.064392547,0
-0.762373006,-1.650273802,-0.500388818095941,-1.56795312965283,-2.36324012017795,-1.64978120544955,-0.720612789973057,-2.26727969529574,-0.46,-1.85,-0.205030155,-1.627898635,-0.470645736,-1.488441247,-0.458611587,-1.788199782,-0.724227168,-1.648742393,FALSE,"null","null",366,"f3",57,2,366,0.2,-0.762373006,-1.650273802,-0.939478812488168
-0.337599407,-1.614052109,-0.35764253271121,-1.86881051785949,-1.50164467348088,-3.67908344642407,-0.601741091784277,-2.73371698447716,-0.0959999999999993,-1.85,-0.356232456,-1.612654122,-0.108375548,-1.781671734,-0.0859304570000004,-1.482512549,0.161926451,-1.651530161,FALSE,"null","null",340,"f2",71,5,340,0.2,-0.337599407,-1.614052109,-3.96605989221928
-1.50716208,-1.906793621,-2.11819459680022,-2.28448470632542,-1.03425695535491,0.539866193363555,-2.84673214827965,-1.18249697648441,-1.216,-1.85,-1.462719427,-1.947998481,-1.551256569,-1.661360775,-1.755223533,-1.881355043,-1.843760675,-1.594717337,TRUE,"f3","1stO",62,"f3",40,8,420,0.2,-1.50716208,-1.906793621,-0.151741759189165
-0.466604125,-1.80417279,-0.342563970776749,-1.69994844843797,1.13515005381035,0.0845411384885331,-2.52921248483383,-2.03634911399014,-0.208,-1.85,-0.307736634,-1.822628423,-0.548499599,-1.643650227,-0.583117782,-1.941646168,-0.823880746,-1.762667972,FALSE,"null","null",348,"f3",55,9,348,0.2,-0.466604125,-1.80417279,-0.783702634169286
-0.811965987,-1.807164633,-0.0133295978864498,-1.86397021528775,-0.48695600119697,-3.93790422377019,-2.39599177943239,-2.49260377165205,-0.558,-1.85,0.303255784,-1.959658359,0.0661651599999995,-1.775843137,0.02552182,-2.073077251,-0.211568804000001,-1.889262029,FALSE,"null","null",373,"null",53,10,373,0.2,-0.811965987,-1.807164633,-0.763458521735329
-0.491141273,-1.575000301,-0.554505454422969,-1.45517695857353,-2.45942717786385,-1.7398319362237,-2.47314332397182,-1.33738628881741,-0.292,-1.85,-0.240071935,-1.566379775,-0.504873799,-1.425383418,-0.494579294,-1.725206738,-0.759381158,-1.584210382,TRUE,"f1","1stO",60,"f2",70,13,354,0.2,-0.491141273,-1.575000301,-0.933675971440015
-0.042168028,-1.664181595,1.01697378892362,-0.693473960145113,1.00741908759094,-2.62243366460966,0.755471248055729,0.468663219250348,0.212,-1.85,0.354194926,-1.623685935,0.0804869039999997,-1.500869328,0.110978614,-1.799315731,-0.162729408,-1.676499125,FALSE,"null","null",318,"null",72,14,318,0.2,-0.042168028,-1.664181595,-1.00116906183828
-1.105304435,-2.040706496,-0.424104794443889,-1.87840116854125,-0.515635966670982,2.36762926112801,-1.03966881876508,-2.33310001226112,-0.852,-1.85,-1.045737538,-2.049070147,-1.282164876,-1.864402571,-1.323878019,-2.16148844,-1.560305357,-1.976820864,FALSE,"null","null",394,"f2",43,17,394,0.2,-1.105304435,-2.040706496,-0.759858432812157
-1.18481372,-1.82442308,-2.34414592045205,-0.691739400592957,-0.128787249487165,-2.59507067159004,-1.58110016703632,-0.956961852958331,-0.908,-1.85,-0.698907015,-1.885689618,-0.93790925,-1.70436689,-0.975438221,-2.002010261,-1.214440456,-1.820687533,FALSE,"null","null",398,"f2",36,19,398,0.2,-1.18481372,-1.82442308,-0.773929047551612
