"l.x","l.y","f1.x","f1.y","f2.x","f2.y","f3.x","f3.y","X3rdO.x","X3rdO.y","l_g.x","l_g.y","f1_g.x","f1_g.y","f2_g.x","f2_g.y","f3_g.x","f3_g.y","crash","who","with","when","trapped","modi_start.1","rand_seed.1","recog_time.1","p_coef","origin_l.x","origin_l.y","theta"
-0.057300487,-1.786738153,-0.0101129891078557,-1.62435743744882,-0.421470221947479,-1.98210982311806,-0.446533147326351,-1.82114399421262,0.086,-1.85,0.345508137,-1.755778433,0.074969485,-1.62612953,0.097959568,-1.925247326,-0.172579084,-1.795598423,TRUE,"f1","1stO",70,"null",265,1,327,0.2,-0.057300487,-1.786738153,0
-0.044329406,-1.81767199,-0.0226656215184437,-1.63541093970161,-0.493371162337119,-2.01222014113375,-0.340620297746554,-1.94145048450959,0.0999999999999998,-1.85,0.471271739,-1.50950068,0.171306043,-1.514037359,0.32521777,-1.771546932,0.025252075,-1.776083611,TRUE,"L","1stO",63,"null",263,4,326,0.2,-0.044329406,-1.81767199,-0.462012801401926
0.396634879,-1.77347078,0.357235034619647,-1.6155174123751,-0.047965246149776,-1.96100867372074,0.00119763759337976,-1.8236790560501,0.548,-1.85,0.954409575,-1.605471749,0.662381348,-1.536773028,0.748900624,-1.824026252,0.456872397,-1.755327532,TRUE,"f2","f3",245,"null",232,7,294,0.2,0.396634879,-1.77347078,-0.215844084900766
0.385232807,-1.738169254,0.370336435489754,-1.57890502713493,0.0107590720203655,-1.88816927971566,-0.0613387533105821,-1.73850818551736,0.534,-1.85,0.958035786,-1.658633159,0.68006693,-1.545791167,0.721327326,-1.842940253,0.44335847,-1.730098262,FALSE,"null","null",295,"null",235,9,295,0.2,0.385232807,-1.738169254,-0.0612631707373424
0.393537277,-1.971793003,0.339494118445114,-1.80415220986985,0.0356660480157009,-2.0372930756367,-0.0822171847239591,-1.86515307450442,0.562,-1.85,0.831590104,-2.0635314,0.608045467,-1.863461924,0.546552536,-2.157091996,0.3230079,-1.95702252,TRUE,"f2","2ndO",210,"null",233,10,293,0.2,0.393537277,-1.971793003,0.283148444690386
0.490069144,-1.822649654,0.389967136958337,-1.67932275447913,0.126203513312978,-1.98987395144323,0.0127752980649454,-1.86191323581989,0.674,-1.85,1.00992223,-1.737834487,0.729351462,-1.631626934,0.777658408,-1.927712123,0.49708764,-1.821504571,TRUE,"f2","1stO",59,"null",223,17,285,0.2,0.490069144,-1.822649654,-0.0850184326037827
0.607132643,-1.893137571,0.806054714040947,-1.74072036453471,0.255274382314684,-1.99740780763671,0.437912810296873,-1.87717222277149,0.772,-1.85,1.31041652,-1.915259192,1.055453211,-1.757165197,1.046021449,-2.057016897,0.791058141,-1.898922902,TRUE,"f1","1stO",58,"null",216,19,278,0.2,0.607132643,-1.893137571,0.108153198684327
0.551979756,-1.970864897,0.456634494816788,-1.81415089663869,0.126142000957795,-2.07294100383286,0.219606668000603,-1.94939982995429,0.716,-1.85,1.141669412,-1.877158553,0.861540425,-1.76979119,0.908622054,-2.066073691,0.628493067,-1.958706328,TRUE,"f3","2ndO",193,"null",220,20,282,0.2,0.551979756,-1.970864897,-0.080881426764443
0.246519677,-1.734855235,0.195224348019708,-1.58207620567982,-0.269467772671793,-1.91012423501302,-0.173522076384737,-1.78958929331853,0.38,-1.85,0.760987575,-1.638310909,0.477971361,-1.538803006,0.533303096999999,-1.833656188,0.250286883,-1.734148286,TRUE,"f2","f3",259,"null",243,22,306,0.2,0.246519677,-1.734855235,-0.108792347335647
0.166835812,-1.682303349,-0.090269762295885,-1.55854987983507,-0.267280747880246,-1.87642574787743,-0.425216162287699,-1.744656537518,0.31,-1.85,0.606948443,-1.614170556,0.327251361,-1.505683035,0.373146952,-1.802151574,0.0934498700000001,-1.693664053,TRUE,"L","1stO",56,"null",248,23,311,0.2,0.166835812,-1.682303349,-0.0768796243474102
